# Config: max_age=63 mutation_threshold=3 reproductive_age=16 birth_rate=0.1 mutation_rate=4 N0=1000 Nmax=10000 Tmax=10000
Iteration,Generation,Population_number,Average_age,Average_no_of_mutations,Average_total_mutations
33,0,1000,0,0.509,32
33,1,1000,1,1.03,32
33,2,1000,2,1.535,32
33,3,993,3,2.02618,32
33,4,961,4,2.47242,32
33,5,929,5,2.93219,32
33,6,888,6,3.37838,32
33,7,830,7,3.82771,32
33,8,781,8,4.3009,32
33,9,735,9,4.83537,32
33,10,685,10,5.31241,32
33,11,643,11,5.7605,32
33,12,607,12,6.28336,32
33,13,582,13,6.81271,32
33,14,549,14,7.32605,32
33,15,521,15,7.80998,32
33,16,483,16,8.30642,32
33,17,518,15.3591,8.03861,31.9807
33,18,525,15.0095,7.85524,32.0038
33,19,536,14.8657,7.81716,31.959
33,20,548,14.5328,7.66606,31.9416
33,21,555,14.3532,7.58919,31.9568
33,22,561,14.2389,7.54011,31.9608
33,23,590,13.9373,7.39153,31.9525
33,24,594,14.0724,7.44276,31.9764
33,25,601,14.0083,7.36772,31.9667
33,26,608,13.8701,7.25658,31.9803
33,27,606,14,7.28878,32.0066
33,28,602,14.3588,7.45183,31.9934
33,29,595,14.6723,7.60168,32.0134
33,30,592,14.897,7.70777,32.0169
33,31,584,15.2192,7.89212,32.0171
33,32,578,15.5173,8.04671,31.9896
33,33,575,15.8313,8.22957,31.9965
33,34,563,16.3162,8.44405,32.0071
33,35,554,16.565,8.58123,31.9964
33,36,545,16.7835,8.66055,31.9743
33,37,554,16.8357,8.70397,31.9386
33,38,551,17.1688,8.88566,31.8984
33,39,543,17.4438,8.98711,31.9006
33,40,547,17.5649,9.0713,31.8867
33,41,546,17.8773,9.24176,31.8901
33,42,556,17.4982,9.04856,31.9137
33,43,560,17.1982,8.91429,31.9179
33,44,565,17.1982,8.87611,31.9363
33,45,574,17.176,8.84495,31.9477
33,46,568,16.7799,8.69366,31.9261
33,47,563,16.984,8.77087,31.929
33,48,567,16.9383,8.75661,31.933
33,49,563,17.0018,8.82593,31.9218
33,50,574,16.9164,8.79791,31.9129
33,51,574,17.1289,8.91638,31.9233
33,52,582,16.8058,8.74055,31.9072
33,53,576,16.8212,8.75,31.934
33,54,567,17.0106,8.85714,31.9295
33,55,568,17.0035,8.84859,31.8944
33,56,572,16.5734,8.62587,31.8531
33,57,572,16.7343,8.68531,31.8601
33,58,565,17.0796,8.82301,31.8336
33,59,565,17.1575,8.86549,31.8195
33,60,560,16.9589,8.78214,31.8107
33,61,565,16.8619,8.73097,31.7593
33,62,557,16.6984,8.66427,31.7953
33,63,555,16.5694,8.51351,31.8306
33,64,527,14.3397,7.41746,31.8254
33,65,517,14.793,7.65764,31.7834
33,66,511,15.1057,7.77886,31.7573
33,67,508,15.2539,7.88189,31.7677
33,68,513,15.5049,7.95712,31.7154
33,69,518,15.5656,7.95753,31.7181
33,70,527,15.4156,7.90323,31.7116
33,71,529,15.758,8.02647,31.7316
33,72,529,16.0926,8.20794,31.7429
33,73,524,16.4275,8.38168,31.7405
33,74,534,16.2285,8.28277,31.7079
33,75,544,16.2794,8.30515,31.6507
33,76,549,16.4645,8.43898,31.6357
33,77,550,16.44,8.39091,31.6291
33,78,551,16.4664,8.45372,31.6552
33,79,555,16.445,8.43604,31.6072
33,80,561,16.5383,8.48128,31.6506
33,81,557,16.6463,8.51346,31.6481
33,82,548,16.9745,8.66241,31.6277
33,83,551,17.2577,8.80218,31.6152
33,84,541,16.9464,8.68022,31.6821
33,85,536,16.8134,8.62127,31.6381
33,86,532,16.6617,8.57707,31.6654
33,87,534,16.6011,8.54494,31.6816
33,88,531,16.548,8.56685,31.7363
33,89,530,16.5415,8.58868,31.6377
33,90,517,16.4816,8.51838,31.5783
33,91,516,16.7248,8.6531,31.5698
33,92,519,16.8728,8.70906,31.5607
33,93,526,16.7776,8.62928,31.5323
33,94,527,16.8653,8.6129,31.556
33,95,526,17.1521,8.74144,31.5361
33,96,532,16.6974,8.54511,31.4211
33,97,538,16.4461,8.41264,31.3606
33,98,536,16.1157,8.19776,31.3619
33,99,536,16.4534,8.33769,31.3731
33,100,534,16.7322,8.47004,31.412
33,101,535,16.6,8.40374,31.4617
33,102,533,16.3021,8.23265,31.4371
33,103,535,16.4206,8.26542,31.4243
33,104,539,16.4972,8.29685,31.4174
33,105,528,16.4773,8.26136,31.3598
33,106,528,16.5568,8.28598,31.322
33,107,521,16.3129,8.14395,31.2937
33,108,532,16.0808,8.0188,31.3383
33,109,526,15.884,7.91825,31.3422
33,110,523,16.1281,8.03633,31.3728
33,111,527,16,7.97154,31.3472
33,112,518,16.1776,8.04247,31.2741
33,113,521,16.2073,8.04798,31.2706
33,114,515,16.2194,8.01553,31.2233
33,115,518,16.0965,7.98649,31.2124
33,116,525,16.1676,8.03619,31.2114
33,117,519,16.3044,8.15607,31.2987
33,118,530,16.1075,8.02264,31.2226
33,119,528,15.767,7.875,31.197
33,120,516,15.8043,7.84302,31.2171
33,121,516,15.8236,7.82946,31.186
33,122,519,16.183,8.00771,31.1753
33,123,520,15.9038,7.86346,31.2423
33,124,513,16.538,8.19688,31.2398
33,125,514,16.4261,8.14008,31.2296
33,126,511,16.2681,8.03718,31.2838
33,127,512,15.9648,7.85938,31.2383
33,128,520,15.8096,7.80769,31.2308
33,129,532,15.6992,7.79135,31.188
